Image ID,Caption,Question,Prompt,Generated Answer
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000042.jpg', 'there is a dog that is laying on a rack with shoes']. Answer in a single word the question: 'What color are the gym shoes?'\n Answer:  black\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000042.jpg', 'there is a dog that is laying on a rack with shoes']. Answer in a single word the question: 'Is there a red sandal here?'\n Answer:  Yes\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000042.jpg', 'there is a dog that is laying on a rack with shoes']. Answer in a single word the question: 'What color is the flip flop?'\n Answer:  brown\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000074.jpg', 'araffe dog laying on the ground next to a bike on a city street']. Answer in a single word the question: 'Does this dog have a collar?'\n Answer:  Yes""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000074.jpg', 'araffe dog laying on the ground next to a bike on a city street']. Answer in a single word the question: 'Where is the dog laying?'\n Answer:  ground""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000074.jpg', 'araffe dog laying on the ground next to a bike on a city street']. Answer in a single word the question: 'What is the dog doing?'\n Answer:  'laying""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000133.jpg', 'there is a small desk with a lamp on it in a room']. Answer in a single word the question: 'What color is lamp?'\n Answer:  yellow\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000133.jpg', 'there is a small desk with a lamp on it in a room']. Answer in a single word the question: 'Is this a child room?'\n Answer:  No\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000133.jpg', 'there is a small desk with a lamp on it in a room']. Answer in a single word the question: 'What size mattress would you need for this bed?'\n Answer:  'queen""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000136.jpg', 'there are two giraffes standing in a room with a woman looking at them']. Answer in a single word the question: 'Is this in a museum?'\n Answer:  Yes.""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000136.jpg', 'there are two giraffes standing in a room with a woman looking at them']. Answer in a single word the question: 'How many animals are in the picture?'\n Answer: 3""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000136.jpg', 'there are two giraffes standing in a room with a woman looking at them']. Answer in a single word the question: 'What kind of animal is shown?'\n Answer:  Giraffe""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000139.jpg', 'brightly colored living room with a television and a fireplace']. Answer in a single word the question: 'What is the woman in the room doing?'\n Answer:  watching television.""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000139.jpg', 'brightly colored living room with a television and a fireplace']. Answer in a single word the question: 'How many yellow vases?'\n Answer: 0\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000139.jpg', 'brightly colored living room with a television and a fireplace']. Answer in a single word the question: 'What color is the floor?'\n Answer:  'wooden""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000139.jpg', 'brightly colored living room with a television and a fireplace']. Answer in a single word the question: 'What color is the flower?'\n Answer:  yellow\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000143.jpg', 'there are many birds sitting on the branches of a tree']. Answer in a single word the question: 'What color is the tip of the birds' tails?'\n Answer:  'brown""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000143.jpg', 'there are many birds sitting on the branches of a tree']. Answer in a single word the question: 'How many birds are in the tree?'\n Answer: 5\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000143.jpg', 'there are many birds sitting on the branches of a tree']. Answer in a single word the question: 'Who many birds are black?'\n Answer: 3\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000164.jpg', 'there is a kitchen with a table and a refrigerator in it']. Answer in a single word the question: 'How many paper towel rolls?'\n Answer: 2\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000164.jpg', 'there is a kitchen with a table and a refrigerator in it']. Answer in a single word the question: 'What is the color of the refrigerator?'\n Answer:  white\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000164.jpg', 'there is a kitchen with a table and a refrigerator in it']. Answer in a single word the question: 'Is the light on?'\n Answer:  Yes\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000164.jpg', 'there is a kitchen with a table and a refrigerator in it']. Answer in a single word the question: 'What color is the wall?'\n Answer:  'white'""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000192.jpg', 'arafed baseball player walking on home plate with catcher and umpire']. Answer in a single word the question: 'What sport is being played?'\n Answer:  Baseball\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000192.jpg', 'arafed baseball player walking on home plate with catcher and umpire']. Answer in a single word the question: 'Is the catcher wearing safety gear?'\n Answer:  Yes\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000192.jpg', 'arafed baseball player walking on home plate with catcher and umpire']. Answer in a single word the question: 'What is the name of the teams?'\n Answer:  'Ara""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000196.jpg', 'there are many different foods on the table ready to be eaten']. Answer in a single word the question: 'What is the yellow food?'\n Answer:  food\n\n""}"
"{'generated_text': ""Based on the image caption (generated by BLIP model): ['../data/validation/images/COCO_val2014_000000000196.jpg', 'there are many different foods on the table ready to be eaten']. Answer in a single word the question: 'Are there lots of healthy options on the table?'\n Answer:  Yes.\n""}"
